Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,Part Status
1,MCP2515T-I/ST,Microchip Technology,IC CAN CONTROLLER W/SPI 20TSSOP,"12,353",In Stock,,1,1,Cut Tape (CT),MCP2515T-I/STCT-ND,4.36000,$4.36,1,,MCP2515T-I/STCT-ND,4,https://ww1.microchip.com/downloads/en/DeviceDoc/MCP2515-Stand-Alone-CAN-Controller-with-SPI-20001801J.pdf,,Active
2,C0805C220J5GAC7210,KEMET,CAP CER 22PF 50V C0G/NP0 0805,"49,151",In Stock,,2,2,Cut Tape (CT),399-C0805C220J5GAC7210CT-ND,0.16000,$0.32,1,,399-C0805C220J5GAC7210CT-ND,27,https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C0805C220J5GAC7210,,Active
3,LTST-C171GKT,Lite-On Inc.,LED GREEN CLEAR CHIP SMD,"291,266",In Stock,,1,1,Cut Tape (CT),160-1423-1-ND,0.41000,$0.41,1,,160-1423-1-ND,18,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1134/LTST-C171GKT.pdf,,Active
4,TBL002A-350-04GR-2OR,CUI Devices,"TERMINAL BLOCK, SCREWLESS, 3.50,",128,In Stock,,1,1,Tray,102-6381-ND,1.53000,$1.53,1,,102-6381-ND,11,https://www.cuidevices.com/product/resource/tbl002a-350.pdf,,Active
5,SFH11-PBPC-D13-ST-BK,Sullins Connector Solutions,CONN HDR 26POS 0.1 GOLD PCB,"9,218",In Stock,,1,1,Tray,S9198-ND,2.27000,$2.27,1,,S9198-ND,11,https://s3.amazonaws.com/catalogspreads-pdf/PAGE123%20.100%20SFH11%20SERIES%20FEMALE%20HDR%20ST%20RA.pdf,,Active
6,RMCF0805FT120R,Stackpole Electronics Inc,RES 120 OHM 1% 1/8W 0805,"1,033,490",In Stock,,1,1,Cut Tape (CT),738-RMCF0805FT120RCT-ND,0.16000,$0.16,1,,738-RMCF0805FT120RCT-ND,17,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,,Active
7,RC0805JR-0710KL,YAGEO,RES 10K OHM 5% 1/8W 0805,"1,103,950",In Stock,,1,1,Cut Tape (CT),311-10KARCT-ND,0.16000,$0.16,1,,311-10KARCT-ND,18,https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rc_group_51_rohs_l.pdf,,Active
8,RK73B2ATTD331J,"KOA Speer Electronics, Inc.",RES 330 OHM 5% 1/4W 0805,"109,215",In Stock,,1,1,Cut Tape (CT),2019-RK73B2ATTD331JCT-ND,0.16000,$0.16,1,,2019-RK73B2ATTD331JCT-ND,7,https://www.koaspeer.com/pdfs/RK73B.pdf,,Active
9,MCP2562-E/SN,Microchip Technology,IC TRANSCEIVER HALF 1/1 8SOIC,"10,943",In Stock,,1,1,Tube,MCP2562-E/SN-ND,1.98000,$1.98,1,,MCP2562-E/SN-ND,4,https://ww1.microchip.com/downloads/en/DeviceDoc/20005167C.pdf,,Active
10,ECS-80-12-33-JGN-TR,ECS Inc.,CRYSTAL 8.0000MHZ 12PF SMD,"108,242",In Stock,,1,1,Cut Tape (CT),50-ECS-80-12-33-JGN-CT-ND,1.03000,$1.03,1,,50-ECS-80-12-33-JGN-CT-ND,13,https://ecsxtal.com/store/pdf/ecx-32.pdf,,Active
